Maze,Expa/M,Expa/P,Expl/M,Expl/P,Moves,Count,Optimal,Ratio
01,108492,116,305911,329,2812,930,872,322%
02,232013,150,548825,355,4924,1544,1608,306%
03,131808,113,310476,266,3996,1166,932,428%
04,100189,110,275397,303,2690,908,1280,210%
05,27860,83,78333,233,676,336,676,100%
06,44360,95,127012,273,972,465,836,116%
07,69969,89,186463,237,1528,785,1528,100%
08,91469,110,244982,295,3028,829,656,461%
09,151760,175,385864,447,2464,864,1264,194%
10,186438,143,409121,315,4564,1296,1284,355%
11,91828,125,256765,351,2292,731,1184,193%
12,99335,134,266983,360,2268,742,1172,193%
13,117553,119,280922,284,3488,987,804,433%
14,50072,92,138177,255,1112,541,952,116%
15,156198,113,420313,304,4740,1381,1168,405%
16,109001,140,288636,372,2132,776,888,240%
17,56417,102,157046,285,1584,552,980,161%
18,123429,123,326987,327,2832,999,1160,244%
19,100151,118,268474,317,2876,846,1020,281%
20,230629,129,593502,333,7088,1778,732,968%
21,124986,126,346622,350,3094,991,1040,297%
22,223936,125,562667,316,6244,1781,1320,473%
23,99188,108,278106,304,1716,914,1660,103%
24,158829,125,438559,345,4492,1270,772,581%
25,16898,88,49111,258,436,191,412,105%
26,84083,95,231149,263,1716,877,1716,100%
27,56155,99,158001,280,1072,565,1072,100%
28,69104,123,190875,341,2020,560,816,247%
29,73545,106,201054,291,1748,690,976,179%
30,138284,124,354775,319,3840,1111,1052,365%
31,125125,120,323743,310,3824,1043,780,490%
32,232809,140,594080,358,5300,1660,2060,257%
33,139585,131,357634,337,2256,1062,1740,129%
34,73797,111,205739,310,1852,664,916,202%
35,64000,114,185490,333,1016,558,1008,100%
36,115070,110,313265,301,1868,1039,1860,100%
37,177257,149,458444,387,4296,1183,592,725%
38,169422,158,416849,391,3756,1067,1012,371%
39,151326,139,388291,357,3540,1086,1100,321%
40,116031,126,310302,337,3280,921,892,367%
41,177263,128,437975,316,5268,1385,700,752%
42,60613,113,173629,324,1116,536,1040,107%
43,132104,118,324613,290,4028,1117,904,445%
44,125397,146,339681,397,2788,856,948,294%
45,47898,95,136071,272,952,501,952,100%
46,82595,128,222670,345,1872,646,988,189%
47,90654,131,250838,363,2192,692,660,332%
48,95113,115,254107,308,2780,825,852,326%
49,184981,128,475834,331,4372,1438,1692,258%
50,80900,102,223071,283,1928,787,1396,138%
