Expa/M,Expa/P,Expl/M,Expl/P,Moves,Count,Optimal,Ratio
7448,87,21738,255,326,86,198,164\%
10555,89,30036,254,446,119,202,220\%
9513,106,27765,311,358,90,208,172\%
7750,94,22063,269,380,83,198,191\%
10434,98,29746,280,424,107,200,212\%
9880,90,27833,255,422,110,198,213\%
6112,88,17808,258,306,70,198,154\%
10858,100,31267,289,436,109,206,211\%
9791,89,28195,258,444,110,196,226\%
5626,82,16487,242,284,69,198,143\%
7331,83,21034,239,296,89,198,149\%
8462,82,24072,236,414,103,198,209\%
10084,92,29369,269,346,110,198,174\%
8001,91,23474,269,332,88,196,169\%
15108,126,43961,369,410,120,196,209\%
6856,92,20034,270,328,75,198,165\%
7860,92,23003,270,322,86,198,162\%
6264,79,17840,225,330,80,196,168\%
7386,85,21424,249,352,87,196,179\%
7664,97,22480,284,316,80,198,159\%
7039,95,20654,279,290,75,196,147\%
9170,95,26622,277,376,97,196,191\%
7522,67,21360,190,462,113,198,233\%
7174,96,21094,285,312,75,198,157\%
11622,91,31781,250,504,128,198,254\%
10035,98,29101,285,412,103,202,203\%
7505,92,21883,270,322,82,196,164\%
8132,88,23801,258,322,93,200,161\%
8670,88,25175,256,354,99,196,180\%
8197,87,24013,255,342,95,196,174\%
10383,92,30040,268,436,113,196,222\%
9311,99,27209,289,362,95,202,179\%
13378,107,36611,292,464,126,198,234\%
6546,99,19222,291,290,67,196,147\%
8897,93,25370,267,344,96,202,170\%
8929,105,26054,306,352,86,200,176\%
11307,97,29247,252,464,117,196,236\%
8363,85,23831,243,396,99,200,198\%
9750,105,28543,310,346,93,202,171\%
8332,106,24554,314,310,79,204,151\%
8016,86,23377,251,352,94,196,179\%
10959,116,32145,341,320,95,200,160\%
7234,92,21262,272,290,79,196,147\%
8182,81,23190,229,394,102,198,198\%
8440,83,23530,232,384,102,198,193\%
11833,97,34218,282,396,122,200,198\%
9418,85,26692,242,416,111,198,210\%
7789,82,22661,241,360,95,204,176\%
8799,87,25613,256,368,101,196,187\%
8479,86,24589,250,366,99,198,184\%
